In/Out,Time,Date,
1,1400,01/28,
0,1752,01/28,
1,1850,01/31,
0,2028,01/31,
1,1400,02/03,
0,1703,02/03,
1,1900,02/03,
0,2023,02/03,
1,1435,02/04,
0,1551,02/04,
1,1407,02/08,
0,1601,02/08,
1,1829,02/08,
0,1923,02/08,
1,1951,02/10,
0,2238,02/10,
1,1445,02/11,
0,1549,02/11,
1,1641,02/11,
0,1720,02/11,
1,1013,02/13,
0,1149,02/13,
1,1311,02/13,
0,1416,02/13,
1,2039,02/15,
0,2210,02/15,
1,1341,02/16,
0,1442,02/16,
1,1910,02/16,
0,2110,02,16,
1,1400,02/17,
0,1550,02/17,
1,1813,02/17,
0,2211,02/17,
1,0952,02/18,
0,1102,02/18,
1,1400,02/18,
